cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Cândido de Abreu;2011;2010;216;22766121,75;3;14779;4461;10301;25;3627;10,88;1515,244;290,43;4673;136;103;292111;33;;2701;;;;790;0,5447;;1;109;77,55;;103,67;115,92;71,43;23128154,36;92,24;107,76;93,88;95,51;;115,51;;;;;;-362032,609999999;negativo
Candói;2011;2867;229;36703957,55;2;27318;2151;17152;8;4068;9,97;1509,059;324,2;4965;296;45;411277;251;;3036;;;;736;0,6918;;1;93;94,74;;99,19;97,98;104,86;34054668,05;91,09;109,31;99,19;94,74;;97,98;;;;;;2649289,5;positivo
Cantagalo;2011;2909;184;19267024,57;2;11902;3425;10102;32;3259;22,22;583,52;329,2;3490;377;103;441526;274;;2406;;;;476;0,5928;;2;67;105,7;;98,45;98,45;94,82;17324770,56;91,19;122,8;98,45;88,6;;98,45;;;;;;1942254,01;positivo
Capanema;2011;4600;217;31041834,26;4;50660;2333;16509;114;3971;44,23;419,403;558,45;8624;426;226;975828;200;;2550;;;;948;0,6883;47;1;140;98,12;;102,82;99,53;98,12;31118997,42;88,73;101,41;92,02;101,41;;99,53;;;;;;-77163,1600000002;negativo
Capitão Leônidas Marques;2011;4349;204;25863224,45;4;23698;925;51193;62;3107;54,63;274,892;516,43;7391;216;111;636785;105;;2225;;;;666;0,7041;;8;85;76,15;;85,32;88,99;86,7;25134875,73;84,86;116,97;84,4;84,4;;88,53;;;;;;728348,719999999;positivo
Carambeí;2011;4962;375;44857132,14;3;147185;100;41175;79;5418;30,2;645,422;135,28;8890;807;319;735563;488;;3637;;;;815;0,7591;159;1;90;122,73;;110,91;117,88;126,36;41624289,69;113,94;119,09;115,45;96,06;;119,7;;;;;;3232842,45;positivo
Carlópolis;2011;3721;188;20332639,69;3;16549;1965;15025;57;2951;30,59;449,079;360,58;6089;297;135;579249;162;;2043;;;;611;0,6991;;1;117;120,38;;144,59;141,4;124,84;19042924,23;119,11;154,78;131,21;112,1;;141,4;;;;;;1289715,46;positivo
Cascavel;2011;97361;4372;434665923,97;38;663630;36684;21799;3311;68500;138,35;2091,401;491;170223;9463;4685;15510545;4778;;42342;;;;14375;0,819;2320;59;1684;130,77;;100,66;101,56;99,9;408261423,15;87,24;135,61;103,72;99,85;;103,94;;;;;;26404500,8200001;positivo
Castro;2011;16817;1180;111061835,93;6;130961;12203;19725;300;18390;26,59;2533,247;156,6;28479;1978;732;2613851;1246;;12706;;;;3568;0,7241;138;13;466;100,93;;97,98;102,44;87,71;107009512,15;88,72;108,42;91,08;92,17;;102,1;;;;;;4052323,78;positivo
Catanduvas;2011;2006;131;19030182,91;3;13246;2224;16159;7;2377;17,28;589,604;468,67;3409;263;88;331432;175;;1684;;;;430;0,6431;;1;63;50,68;;94,52;94,52;143,84;16945661,92;90,41;124,66;99,32;119,86;;94,52;;;;;;2084520,99;positivo
Centenário do Sul;2011;3729;136;16617966,96;2;13317;1983;10235;23;2287;30,03;371,01;472,36;4429;278;78;605657;200;;1599;;;;410;0,6605;;2;97;126,32;;114,91;110,53;110,53;14852270,14;94,74;115,79;113,16;118,42;;111,4;;;;;;1765696,82;positivo
Cerro Azul;2011;2643;196;24048126,89;3;11297;4588;9069;19;4059;12,66;1341,323;84,56;4927;209;77;397104;132;;3259;;;;591;0,4928;;1;109;90,73;;76,83;84,56;83,01;23683242,58;87,64;108,11;77,61;76,83;;84,94;;;;;;364884,310000002;positivo
Céu Azul;2011;3333;116;26660477,57;4;40584;1347;27303;49;2594;9,39;1180,163;542,1;5966;557;292;517916;265;;1559;;;;478;0,7607;;2;69;31,54;;85,38;80;87,69;27702387,4;90,77;132,31;97,69;89,23;;80;;;;;;-1041909,83;negativo
Chopinzinho;2011;4763;269;42921301,73;5;34921;3651;16415;76;4881;20,45;959,18;394,05;8853;699;238;684602;461;;3088;;;;1042;0,7103;52;1;134;107,09;;115,35;109,45;96,85;38539917,82;113,39;153,54;98,03;103,54;;109,06;;;;;;4381383,91;positivo
Cianorte;2011;25262;997;111977439,11;5;173833;9574;20148;857;15731;87,64;809,232;501,26;43452;2329;1406;4117444;923;;9758;;;;3443;0,8128;201;16;388;106,74;;100,95;100,74;92;107249714,35;98,95;122,84;96,11;92,84;;98,42;;;;;;4727724,76000001;positivo
Cidade Gaúcha;2011;3552;157;20496572,69;4;25967;3795;17294;52;2697;27,7;403,636;561,84;5082;430;202;585117;228;;1799;;;;468;0,7381;;4;59;89,01;;90,58;96,34;80,1;19061148,77;86,91;127,23;104,19;171,2;;97,91;;;;;;1435423,92;positivo
Clevelândia;2011;5235;266;25475761,61;4;23345;3084;13272;80;4689;24,4;703,104;410,4;6851;351;207;751797;144;;3056;;;;1139;0,6098;143;5;128;112,83;;95,47;87,92;66,79;25610873,07;64,91;91,32;55,09;81,89;;96,98;;;;;;-135111,460000001;negativo
Colombo;2011;66408;3735;250413754,9;13;330024;31455;12834;671;50620;1088,15;197,805;17,3;92962;8959;2075;10693754;6884;;34014;;;;7592;0,6751;55;59;1303;116,18;;105,15;105,32;80,04;251671694,02;81,67;98,15;77,37;93,96;;106,12;;;;;;-1257939,12;negativo
Colorado;2011;8641;295;41219956,59;4;41292;3436;17479;115;4652;55,61;403,741;503,36;12864;517;322;1800000;195;;3080;;;;867;0,805;188;1;165;98,49;;93,96;96,23;86,79;35917872,51;93,21;123,4;103,4;92,45;;96,23;;;;;;5302084,08000001;positivo
Congonhinhas;2011;1786;114;13198815,64;1;7678;690;13218;11;1959;15,61;532,329;349,84;2592;248;112;264068;136;;1346;;;;365;0,6285;;;77;107,08;;105,31;103,54;65,49;12971078,58;97,35;84,96;61,06;103,54;;103,54;;;;;;227737,060000001;positivo
Conselheiro Mairinck;2011;1040;44;9098803,03;;4020;982;12879;4;952;17,85;204,494;324,14;1111;116;66;151482;50;;601;;;;235;0,6642;;;25;146,88;;153,13;156,25;159,38;8496311;153,13;190,63;159,38;162,5;;156,25;;;;;;602492,029999999;positivo
