cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Faxinal;2016;6057;246;41977930,91;5;29753;;;;3581;24,15;713,68;323,85;9473;643;214;956106;429;5;2162;;;;776;;;;155;87,46;62,01;137,99;78,85;74,91;40232444,14;85,3;82,8;88,53;80,65;88,53;77,78;77,78;67,42;0,36;67,74;;1745486,77;positivo
Fazenda Rio Grande;2016;42248;1969;195145312;6;206722;;;;27888;812,38;115,377;31,35;44331;4844;1291;6075710;3553;42;17286;;2;;5232;;526;;531;97,31;65,83;103,19;85,83;82,8;192747730,54;97,59;100,28;104,71;94,17;78,21;101,06;101,06;43,19;11,32;11,37;;2397581,46000001;positivo
Fênix;2016;1702;45;18656390,06;1;6225;;;;941;20,97;233,811;423;2444;188;104;271551;84;;513;;;;240;;;;50;82,26;79,03;153,23;85,48;69,35;17772076,04;90,32;101,61;96,77;85,48;100;91,94;91,94;42,11;16,13;16,13;;884314,02;positivo
Fernandes Pinheiro;2016;998;83;25126897,28;;10245;;;;1372;14,58;406,633;149,81;2472;244;54;139594;190;;865;;;;263;;;;47;135,14;116,22;108,11;106,76;113,51;24736451,7;110,81;122,97;110,81;116,22;105,41;106,76;106,76;47,46;5,41;82,43;1;390445,580000002;positivo
Figueira;2016;3071;90;26111586,1;1;15093;;;;1707;63,29;129,905;303,16;3680;234;70;469809;164;1;1030;;;;443;;;;76;88,17;101,08;89,25;82,8;77,42;21846837,13;94,62;91,4;92,47;84,95;86,02;88,17;88,17;56,72;1,08;1,08;;4264748,97;positivo
Flor da Serra do Sul;2016;1013;60;21010533,75;;8067;;;;1067;18,85;254,27;514,7;2362;184;91;148056;93;1;667;;;;216;;;;32;122,73;131,82;193,94;146,97;134,85;20397274,33;130,3;137,88;133,33;159,09;156,06;131,82;131,82;52,38;6,06;77,27;;613259,420000002;positivo
Floraí;2016;2257;60;21958758,26;2;10777;;;;856;26,82;190,644;470,73;3297;215;121;350075;94;;477;;;;164;;;;63;87,72;12,28;96,49;89,47;63,16;17724610,49;94,74;89,47;94,74;78,95;92,98;94,74;94,74;111,54;;;;4234147,77;positivo
Floresta;2016;2899;80;27019233,26;;12680;;;;1479;40,34;162,007;445,47;4948;500;221;456140;279;1;719;;;;260;;;;34;28,57;76,92;109,89;45,05;72,53;27264406,77;95,6;112,09;95,6;92,31;24,18;90,11;90,11;7,69;;26,37;;-245173,509999998;negativo
Florestópolis;2016;4464;198;27978250,95;2;15992;;;;2180;44,69;249,394;455,76;5400;575;179;702741;396;9;1203;;;;402;;;;95;112,28;83,63;112,28;107,02;92,98;28095077,14;105,26;107,6;107,6;98,25;155,56;111,7;111,7;55,7;34,5;39,18;1;-116826,190000001;negativo
Flórida;2016; ;28;17298864,96;1;4557;;;;559;32,29;83,14;458,54;1604;136;70;;66;2;322;;;;101;;;;30;96,88;87,5;103,13;84,38;93,75;15159133,26;84,38;103,13;93,75;115,63;93,75;100;100;63,16;;;;2139731,7;positivo
Formosa do Oeste;2016;2353;81;22061205,25;2;22560;;;;1199;26,23;275,076;564,71;5591;245;140;372398;105;1;697;;;;257;;;;76;94,19;86,05;101,16;98,84;87,21;20810345,56;102,33;106,98;104,65;106,98;117,44;101,16;101,16;47,62;3,49;36,05;;1250859,69;positivo
Foz do Iguaçu;2016;103017;4200;735366546,46;23;532934;;;;61903;432,5;610,209;630,2;167383;9786;3602;17545710;6184;98;37980;1;;;11928;;2209;;1664;117,97;63,59;103,86;72,21;72,57;691579152,88;83,83;85,87;88,74;82,83;78,54;81,96;81,96;32,26;9,33;10,8;2;43787393,58;positivo
Foz do Jordão;2016;1821;91;19979896,51;;5433;;;;1236;22,02;233,631;352,27;2235;162;62;256763;100;1;850;;;;224;;;;60;122,89;101,2;96,39;102,41;91,57;21304448,48;118,07;119,28;121,69;104,82;114,46;95,18;95,18;43,1;6,02;45,78;;-1324551,97;negativo
Francisco Alves;2016;2525;108;24535442,46;;11525;;;;1525;19,9;320,765;635,46;3825;354;159;391883;195;3;975;;;;196;;;;62;90,72;72,16;156,7;101,03;81,44;21504684,56;104,12;109,28;109,28;77,32;90,72;103,09;103,09;57,45;44,33;54,64;;3030757,9;positivo
Francisco Beltrão;2016;31434;1301;260179996,26;7;248659;;;;19695;119,57;731,731;474,41;57543;3851;1755;4740313;2096;12;10795;1;;;3976;;1073;;515;99,76;76;112,33;97,39;87,51;248716237,72;100;102,61;103,92;96,65;91,92;96;96;50,5;76,16;82,2;1;11463758,54;positivo
General Carneiro;2016;3336;232;32659720,67;2;14910;;;;2890;13,09;1072,013;278,4;5946;277;89;483616;188;2;2118;;;;495;;;;99;102,63;67,98;84,65;82,89;84,21;35351677,82;97,37;97,81;101,75;82,46;88,6;84,65;84,65;52,45;9,21;9,21;;-2691957,15;negativo
Godoy Moreira;2016;851;22;15991758,32;;3024;;;;578;24,24;132,467;435,96;1597;100;28;120826;72;;365;;;;113;;;;31;93,55;80,65;83,87;83,87;100;14380009,97;116,13;90,32;116,13;125,81;93,55;83,87;83,87;52;22,58;22,58;;1611748,35;positivo
Goioerê;2016;10928;374;77046949,92;4;62547;;;;6181;52,44;566,028;517,94;17542;1092;734;1731043;358;3;3594;;;;1153;;342;;224;94,78;83,55;114,36;92,95;85,64;68167024,85;96,87;100,26;98,96;85,64;92,17;98,69;98,69;38,7;6,27;11,75;1;8879925,07000001;positivo
Goioxim;2016;872;106;20198047,39;;6775;;;;1711;10,66;701,594;328,07;2428;236;91;125403;145;2;1180;;;;295;;;;44;152,87;95,4;125,29;121,84;121,84;19806695,84;134,48;120,69;124,14;116,09;106,9;124,14;124,14;27,5;54,02;49,43;1;391351,550000001;positivo
Grandes Rios;2016;1725;85;18517243,54;1;6997;;;;1232;20,48;305,183;359,2;2874;237;173;260048;64;;735;;;;260;;;;46;85,29;66,67;107,84;55,88;67,65;16459670,24;60,78;62,75;60,78;76,47;78,43;68,63;68,63;50,98;46,08;50,98;;2057573,3;positivo
Guaíra;2016;10972;469;100680253,98;4;69578;;;;7007;57,63;568,845;679,86;23948;1107;522;1790979;585;21;4666;2;;;1182;;52;;264;101,71;87,85;159,91;118,76;100,85;88192587,89;110,45;117,27;117,7;117,27;116,42;115,14;115,14;38,04;1,28;1,07;1;12487666,09;positivo
Guairaçá;2016;2148;91;19665035,78;;10704;;;;1192;13,3;493,553;527,06;3110;250;77;338687;173;4;759;;;;183;;;;40;115,29;85,88;120;95,29;96,47;20522808,5;105,88;98,82;105,88;103,53;140;98,82;98,82;51,02;1,18;87,06;;-857772,719999999;negativo
Guamiranga;2016;1285;111;26725653,21;;10932;;;;1651;35,17;243,157;191,7;4030;222;14;183150;208;;1102;;;;327;;;;52;110,92;92,44;95,8;91,6;95,8;22578913,31;93,28;118,49;115,97;91,6;92,44;94,12;94,12;69,12;44,54;48,74;;4146739,9;positivo
Guapirama;2016;1475;56;17035623,69;;8892;;;;1000;20,85;189,03;345,85;1912;241;117;216006;124;;530;;;;229;;;;29;112;96;192;144;142;16061227,42;148;154;148;134;128;154;154;114,81;6;10;;974396,270000001;positivo
Guaporema;2016;703;21;13733683,73;;4204;;;;368;11,41;200,755;552,6;1124;90;60;106296;30;1;216;;;;62;;;;20;104,76;152,38;114,29;109,52;128,57;11811700,31;119,05;123,81;119,05;147,62;166,67;114,29;114,29;66,67;80,95;85,71;;1921983,42;positivo
Guaraci;2016;1883;31;20844247,18;;14387;;;;1134;25,73;212,304;459,84;2717;217;106;295693;111;;682;;;;235;;;;51;92,98;80,7;107,02;98,25;110,53;19328188,93;94,74;112,28;114,04;98,25;89,47;107,02;107,02;53,66;7,02;8,77;;1516058,25;positivo
Guaraniaçu;2016;3619;198;40348654,07;4;21284;;;;2840;11,14;1240,063;427,51;7686;464;290;517237;174;8;1816;;;;560;;;;128;161,63;77,33;125;120,35;123,26;39170492,81;140,12;134,88;152,91;106,98;88,37;122,67;122,67;54,92;;;;1178161,26;positivo
Guarapuava;2016;60778;2847;383755953,51;13;448009;;;;40499;56,41;3177,598;252,7;98546;5482;1945;9201901;3537;36;25605;3;2;;7613;;1799;;1307;94,53;66,67;108,1;89,03;79,73;361140487,78;91,35;92,99;93,78;87,42;85,71;89,68;89,64;37,31;9,47;6,19;2;22615465,73;positivo
Guaraqueçaba;2016;1009;104;24786508,93;1;7455;;;;1872;3,43;2315,733;176,1;778;159;89;154168;70;1;1318;;;;395;;;;38;135,9;65,38;76,92;79,49;84,62;26461606,44;92,31;92,31;98,72;82,05;60,26;75,64;75,64;14,1;16,67;8,97;;-1675097,51;negativo
Guaratuba;2016;24415;518;116063208,32;5;105842;;;;8851;26,79;1328,48;117,73;14820;2018;758;3886203;1260;27;5338;2;1;;1444;;51;;262;89,32;79;92,88;81,67;76,69;118303045,29;87,9;89,15;88,79;97,51;90,57;91,28;91,28;48,59;7,47;6,58;1;-2239836,97000001;negativo
Honório Serpa;2016;960;78;21833008,77;;10786;;;;1172;11,33;503,674;427,23;2693;209;56;138777;153;;706;;;;257;;;;30;120,73;128,05;147,56;140,24;148,78;19694296,02;157,32;146,34;159,76;134,15;124,39;147,56;147,56;87,27;1,22;104,88;;2138712,75;positivo
Ibaiti;2016;9889;351;54168547,39;5;50930;;;;6515;34,31;900,233;295,6;14411;1092;570;1466798;522;1;3986;;;;1257;;180;;262;88,25;78,96;121,31;79,23;84,97;38123735,97;95,08;93,72;92,35;94,26;100;88,52;88,52;45,3;0,27;50;1;16044811,42;positivo
Ibema;2016;2187;99;18362037,82;;9739;;;;1585;42,48;150,039;452;2954;303;177;301016;126;1;1004;;1;;278;;;;43;51,02;76,53;110,2;110,2;111,22;17093220,63;101,02;97,96;106,12;113,27;84,69;108,16;108,16;61,67;56,12;55,1;;1268817,19;positivo
Ibiporã;2016; ;727;175159277,25;5;113136;;;;11507;176,83;298,87;407,27;30077;2614;1306;;1308;5;6490;2;1;;2168;;235;;428;117,78;80,9;114,43;102,33;92,42;167531344,87;103,5;109,33;109,33;97,38;95,34;111,81;111,81;69,41;5,69;6,12;1;7627932,38;positivo
Icaraíma;2016;3333;121;27262711,71;3;20703;;;;1661;12,34;693,684;648,77;5174;263;50;532174;213;4;1035;;;;363;;;;72;119,05;76,19;115,24;104,76;103,81;26335768,1;114,29;113,33;115,24;97,14;100,95;105,71;105,71;85,94;121,9;120;;926943,61;positivo
Iguaraçu;2016; ;63;21153771,25;1;12654;;;;914;26,4;163,247;435,24;2513;247;135;;112;;514;;;;153;;;;41;53,85;129,49;55,13;47,44;60,26;20549454,48;46,15;46,15;44,87;61,54;67,95;53,85;53,85;65,38;;;1;604316,77;positivo
Iguatu;2016;685;28;14265482,94;;2988;;;;482;21,43;107,466;550,73;1093;96;58;99124;38;;271;;;;115;;;;22;14,29;65,71;85,71;82,86;68,57;12593272,36;65,71;88,57;68,57;62,86;82,86;85,71;85,71;66,67;5,71;5,71;;1672210,58;positivo
Imbaú;2016;3643;222;15697,89;1;13675;;;;2722;38,01;330,154;217,9;5129;299;62;519073;237;8;1967;;;;456;;;;92;102,53;54,55;94,44;87,88;72,22;23219062,25;91,92;91,41;94,44;58,08;47,98;94,44;94,44;25,89;4,55;4,04;;-23203364,36;negativo
Imbituva;2016;8309;503;77198449,97;5;62201;;;;6523;41,39;758,479;174,3;15662;844;346;1175452;498;3;4488;;;;1191;;;;207;106,93;80,3;105,19;98,05;94,16;63773927,44;105,63;112,12;116,45;95,45;102,6;104,11;104,11;51,48;13,85;41,34;;13424522,53;positivo
Inácio Martins;2016;2234;139;38618865,42;2;10914;;;;2473;12,09;936,592;205,14;3730;343;83;308258;260;1;1627;1;;;503;;;;55;98,01;101,99;111,26;107,28;95,36;31660792,8;98,01;125,83;105,3;112,58;118,54;110,6;110,6;39,5;90,73;90,73;;6958072,62;positivo
Inajá;2016;1176;35;13586751,64;;4009;;;;569;16,09;194,374;517,53;1467;123;45;181788;78;;329;;;;117;;;;30;97,22;183,33;100;94,44;91,67;13773657,57;100;94,44;105,56;111,11;113,89;91,67;91,67;47,62;25;16,67;;-186905,93;negativo
Indianópolis;2016;1563;66;26225031,22;;18912;;;;1024;36,77;122,187;530,03;2838;251;127;247397;124;1;569;;;;204;;;;38;145,65;121,74;169,57;160,87;152,17;22432540,41;154,35;160,87;152,17;132,61;154,35;169,57;169,57;103,45;;93,48;;3792490,81;positivo
Ipiranga;2016;2264;202;42207913,4;2;19116;;;;3061;16,25;926,955;167,02;7335;405;137;331441;268;2;2070;;;;564;;22;;67;96,98;79,9;109,05;79,9;89,45;43649455,95;90,95;88,94;92,46;94,47;93,97;81,91;81,91;89,76;1,51;27,14;;-1441542,55;negativo
Iporã;2016;5419;203;41861657,31;4;33953;;;;2820;22,71;651,329;619,41;9608;579;296;845566;283;4;1691;;;;517;;33;;146;131,89;83,78;132,43;117,3;103,24;40189747,05;116,22;120,54;118,38;111,35;101,08;121,08;121,08;36,7;5,95;5,95;;1671910,26000001;positivo
Iracema do Oeste;2016;819;23;13780352,96;;4773;;;;474;30,16;82,453;569,09;1437;103;40;125791;63;;295;;;;76;;;;18;148;88;140;136;120;12899215,23;140;136;148;124;96;140;140;58,82;28;32;;881137,73;positivo
Irati;2016;18894;853;141006557,63;5;98949;;;;13431;60,35;995,289;150,34;34557;2328;863;2722934;1465;4;7151;;;;2749;;1203;;499;105,76;94,84;94,84;84,75;98,56;129877186,7;103,48;104,92;113,09;100,12;97,96;94,36;94,36;63,02;29,89;58,46;;11129370,93;positivo
Iretama;2016;2926;146;33203855,89;3;14802;;;;2326;18,74;568,33;392,3;5123;459;255;452810;204;;1457;;;;410;;;;101;109,02;72,18;168,42;116,54;106,77;28083300,59;118,05;123,31;124,81;92,48;109,77;112,03;112,03;61,36;43,61;33,08;;5120555,3;positivo
Itaguajé;2016;1583;57;20727099,25;1;6720;;;;968;24,28;190,614;520,67;2773;204;138;256586;66;1;596;;;;168;;;;28;78,87;88,73;91,55;45,07;95,77;18411144,16;81,69;91,55;78,87;102,82;108,45;91,55;91,55;64,71;;;;2315955,09;positivo
Itaipulândia;2016;3406;142;86937430,64;1;35540;;;;2436;31,33;332,317;617,71;6183;618;399;511646;219;;1446;1;;;372;;;;60;99,32;89,04;99,32;96,58;97,95;78631565,89;97,95;95,21;104,11;105,48;128,77;99,32;99,32;62,67;69,86;71,92;;8305864,75;positivo
Itambaracá;2016; ;65;20000186,73;;8392;;;;1197;33,03;206,933;419,45;3203;209;60;;149;;716;;;;272;;;;57;90,28;76,39;87,5;80,56;93,06;17817801,34;83,33;84,72;84,72;86,11;101,39;87,5;87,5;63,27;70,83;70,83;;2182385,39;positivo
Itambé;2016;2367;66;19168723,8;2;9970;;;;1262;25,37;244,439;432,97;3756;316;168;370898;148;;669;;;;277;;;;42;34,21;48,68;71,05;61,84;65,79;18520188,68;65,79;68,42;67,11;68,42;72,37;67,11;67,11;57,5;;;1;648535,120000001;positivo
Itapejara d'Oeste;2016;3336;153;35383865,03;2;58481;;;;2209;45,52;254,207;443,86;6693;457;196;495018;261;1;1300;;;;452;;;;69;100,68;81,51;111,64;106,85;88,36;34424229;102,05;107,53;109,59;98,63;98,63;111,64;111,64;63,75;2,05;52,05;;959636,030000001;positivo
Itaperuçu;2016;7060;498;50318033,36;2;30580;;;;5883;84,74;320,158;30,76;12001;1032;155;1067196;877;7;3989;;;;862;;;;163;108,77;66,04;74,63;58,77;63,62;50547597,3;92,16;81,72;95,9;77,43;72,39;74,25;74,25;48,63;4,1;4,1;;-229563,939999998;negativo
Itaúna do Sul;2016;1282;48;15534224,04;1;6191;;;;762;25,64;128,223;584,35;1886;150;53;201978;97;1;486;;;;126;;;;34;91,53;72,88;69,49;67,8;71,19;14887766,26;83,05;77,97;84,75;81,36;103,39;67,8;67,8;53,85;;;;646457,779999999;positivo
Ivaí;2016;2594;185;31646171,14;3;14963;;;;2677;22,5;609,538;204,68;7111;159;;355748;159;3;1910;;;;608;;;;86;105,79;90,53;142,11;114,74;104,74;32353482,06;100,53;106,32;101,58;114,74;108,42;106,84;106,84;54,47;10,53;69,47;;-707310,919999998;negativo
Ivaiporã;2016;12529;372;80456199,34;4;45471;;;;7662;75,27;434,662;384,07;21198;1486;746;2068348;740;3;3865;1;;;1657;;654;;283;100,48;75,06;80,76;74,35;82,19;77298271,81;80,76;80,05;83,14;90,02;95,01;79,33;79,33;59,91;0,71;0,95;1;3157927,53;positivo
Ivaté;2016;2635;122;22246434,76;1;9854;;;;1500;19,6;411,563;619,84;4251;335;141;402258;194;;865;;;;300;;;;51;122,02;70,64;110,09;109,17;95,41;20084923,85;111,01;120,18;116,51;99,08;92,66;110,09;110,09;48,15;0,92;0,92;;2161510,91;positivo
Ivatuba;2016;993;32;17660906,5;;5649;;;;967;33,87;95,076;469,93;1323;175;105;152200;70;1;512;1;;;280;;;;24;38,71;93,55;90,32;80,65;77,42;15167143,5;106,45;96,77;106,45;80,65;80,65;90,32;90,32;63,16;;;;2493763;positivo
Jaboti;2016;1761;99;16544693,15;;6252;;;;1061;37,61;138,969;314,72;2403;176;88;251053;88;1;629;;;;256;;;;41;213,04;73,91;150;132,61;102,17;16927802,33;171,74;158,7;176,09;84,78;65,22;147,83;147,83;23,81;100;100;;-383109,179999998;negativo
Jacarezinho;2016;14382;539;90519186,25;5;91370;;;;9723;66,74;603,111;385,6;21693;1702;1086;2482879;616;1;5511;;;;1866;;644;;311;80,1;66,33;169,22;74,83;71,6;94252928,95;89,97;95,24;98,81;83,33;78,91;84,52;84,52;53,33;13,27;16,5;;-3733742,7;negativo
Jaguapitã;2016; ;167;37515280,74;5;84211;;;;2706;27,77;478,452;437,43;7112;592;181;;411;2;1571;;;;543;;;;115;109,15;101,22;118,9;115,85;106,71;39101812,34;121,95;114,63;123,17;135,37;176,22;117,68;117,68;88,51;4,88;82,93;1;-1586531,6;negativo
Jaguariaíva;2016; ;581;81452220,38;4;677095;;;;8386;23,79;1456,401;228,75;16234;909;363;;546;2;5237;;;;1328;;912;;257;82,42;65,48;109,84;83,06;62,26;80746937,86;83,87;86,29;86,94;88,87;87,74;81,45;81,45;65,86;22,58;32,9;;705282,519999996;positivo
Jandaia do Sul;2016;8556;266;47662083,41;5;37736;;;;4198;113,27;187,811;382,6;13842;971;452;1358656;519;1;2376;;;;825;;26;;167;89,8;68,63;157,25;93,73;65,88;47713895,18;92,16;100;96,86;89,41;94,12;94,12;94,12;65,44;54,9;64,71;;-51811,7700000033;negativo
Janiópolis;2016;2160;86;21059160,44;1;7996;;;;1135;17,78;337,687;492,92;3320;250;131;324420;119;;647;;;;238;;;;70;110,13;68,35;115,19;115,19;91,14;21841549,56;125,32;120,25;127,85;81,01;88,61;115,19;115,19;60;21,52;20,25;;-782389,119999997;negativo
Japira;2016;1260;56;15289059,98;;6111;;;;946;26,86;189,08;303,63;1941;132;72;179774;60;;638;;;;176;;;;37;98,36;113,11;134,43;91,8;121,31;15861512,04;106,56;98,36;104,92;139,34;122,95;103,28;103,28;50;16,39;18,03;;-572452,059999999;negativo
Japurá;2016; ;102;30502449,03;1;23169;;;;1604;55,48;166,515;528,54;5763;323;173;;150;;930;;;;351;;;;74;100,99;77,23;93,07;85,15;93,07;28467502,75;96,04;99,01;94,06;85,15;88,12;88,12;88,12;51,79;;;;2034946,28;positivo
Jardim Alegre;2016;3292;144;28390162,31;3;14316;;;;2340;29,47;410,772;381,66;6953;425;151;504774;274;1;1366;1;;;508;;41;;96;101,86;88,2;93,17;91,93;78,26;26705265,9;86,96;89,44;94,41;86,34;67,7;93,17;93,17;42,86;12,42;12,42;;1684896,41;positivo
Jardim Olinda;2016; ;18;12170220,68;;3528;;;;347;10,92;128,473;539,47;1012;96;51;;45;;192;;;;59;;;;17;126,32;78,95;110,53;100;57,89;11167914,6;126,32;126,32;142,11;89,47;110,53;100;100;45,45;;;;1002306,08;positivo
Jataizinho;2016;;174;;1;22193;;;;2872;77,54;161,977;399,69;7140;438;172;;266;;1836;;;;598;;;;109;79,61;75,24;86,41;81,55;82,04;;87,38;89,81;87,86;90,29;133,5;81,07;81,07;90,2;7,28;25,24;;0;positivo
Jesuítas;2016;3099;101;25288034,24;2;29555;;;;1609;35,76;249,207;578,32;6021;272;162;462195;110;1;1060;;;;277;;;;88;99,08;75,23;104,59;99,08;102,75;27082005,83;88,07;94,5;88,99;100;97,25;104,59;104,59;55,17;;;;-1793971,59;negativo
Joaquim Távora;2016;4296;157;32177479,84;4;49436;;;;2272;40,23;289,337;336,25;5939;528;193;636054;335;;1390;;;;354;;;;95;85,33;79,89;135,33;82,61;92,39;33672628,27;98,37;132,07;97,83;102,17;109,24;96,74;96,74;68,83;81,52;81,52;;-1495148,43;negativo
Jundiaí do Sul;2016;1113;42;;;3579;;;;658;10,77;319,744;354,35;1198;111;67;144242;44;3;389;;;;158;;;;25;134,15;63,41;129,27;102,44;31,71;;143,9;126,83;139,02;68,29;36,59;119,51;119,51;17,86;17,07;12,2;;0;positivo
Juranda;2016;2857;100;25031899,48;1;13315;;;;1541;22,18;345,757;516,44;5198;330;185;431180;145;;920;;;;291;;;;67;109,89;80,22;136,26;96,7;90,11;21913007,1;108,79;96,7;109,89;80,22;100;103,3;103,3;42,86;;14,29;;3118892,38;positivo
Jussara;2016; ;86;23386865,17;;14391;;;;1408;33,68;207,709;514,61;4054;301;142;;159;3;818;;;;289;;;;51;93,48;92,39;91,3;82,61;95,65;23407427,53;81,52;86,96;82,61;94,57;116,3;91,3;91,3;72,22;;1,09;1;-20562,3599999994;negativo
Kaloré;2016; ;47;17030307,61;;5551;;;;778;22,7;193,908;374,45;2763;199;107;;92;;422;;;;157;;;;47;110,2;75,51;236,73;110,2;106,12;15972190,31;122,45;130,61;124,49;106,12;100;112,24;112,24;72;26,53;42,86;;1058117,3;positivo
Lapa;2016;12639;593;125129258,06;5;110110;;;;9663;22,79;2097,751;72,1;24985;1520;630;1822447;890;14;5964;3;;;2118;;61;;362;70,96;71,27;82,73;70,33;78,81;114486003,06;80,85;83,67;82,57;82,57;82,42;80,38;80,38;45,29;6,28;6,59;;10643255;positivo
Laranjal;2016;894;80;18205079,86;;4587;;;;1544;11,2;558,013;415,45;2030;163;111;125463;52;1;1056;;;;325;;;;35;98,85;94,25;112,64;113,79;109,2;17504616,43;112,64;111,49;111,49;118,39;109,2;112,64;112,64;64,38;45,98;45,98;;700463,43;positivo
Laranjeiras do Sul;2016;10333;467;83123082,65;5;51912;;;;7310;47,86;673,313;361,48;16891;1680;862;1507355;818;6;4262;;;;1332;;36;;258;92,71;71,59;114,02;87,85;88,79;80995498,83;85,23;91,4;88,97;95,51;91,59;94,58;94,58;36,33;17,01;18,88;;2127583,82000001;positivo
Leópolis;2016;1226;37;16755891,8;;6471;;;;781;11,99;345,957;416,32;1843;184;105;196513;79;;450;;1;;147;;;;31;69,23;69,23;71,15;55,77;73,08;15507210,6;57,69;59,62;55,77;82,69;92,31;57,69;57,69;29,03;;;;1248681,2;positivo
Lidianópolis;2016;1147;53;14769076,06;;4767;;;;745;24,37;152,533;371,86;2280;161;85;179470;76;;408;;;;176;;;;30;130,43;86,96;100;95,65;82,61;14025000,64;121,74;117,39;123,91;97,83;63,04;100;100;65,38;;;;744075,42;positivo
Lindoeste;2016;1303;78;22730049,34;;7630;;;;1232;14,21;360,991;537,85;2724;228;146;203591;82;;750;;;;254;;;;54;19,18;76,71;84,93;83,56;69,86;23964812,11;82,19;89,04;83,56;90,41;89,04;84,93;84,93;56,41;34,25;47,95;;-1234762,77;negativo
Loanda;2016;8586;266;60251780,53;4;48942;;;;4996;31,61;719,86;576,4;14248;1160;646;1369508;514;7;2807;;1;;876;;153;;169;80,85;79,03;103,65;88,15;86,63;55986765,33;86,02;94,83;87,84;89,06;94,22;91,19;91,19;38,71;12,46;31,91;2;4265015,2;positivo
Lobato;2016; ;52;23620295,85;1;16889;;;;912;19,69;239,801;467,44;2685;254;150;;104;1;470;;;;188;;;;33;94,74;94,74;131,58;131,58;96,49;22525808,98;126,32;138,6;128,07;105,26;108,77;131,58;131,58;86,21;1,75;92,98;;1094486,87;positivo
Londrina;2016;231912;7012;1761683565,49;84;1352308;;;;109854;334,05;1656,606;377,77;371350;21264;6481;38393088;14783;87;61815;;;;22533;;4242;;3700;103,71;73,06;104,33;91,24;86,87;1781926868,14;91,33;93,29;95,44;96,02;105,65;91,69;91,46;47,49;24,17;72,76;3;-20243302,6500001;negativo
Luiziana;2016;2107;105;28265407,69;1;10572;;;;1594;8,21;908,788;428,04;3080;266;73;311747;193;1;1078;;1;;250;;;;63;115,96;128,72;154,26;128,72;127,66;26644497,14;121,28;127,66;124,47;130,85;154,26;123,4;123,4;77,78;90,43;90,43;;1620910,55;positivo
Lunardelli;2016;1506;52;16966369,18;;5260;;;;941;25,61;198,929;388,21;2780;135;47;232980;88;1;527;;;;279;;;;44;91,53;89,83;103,39;98,31;83,05;14604689,39;108,47;94,92;108,47;88,14;42,37;103,39;103,39;88,37;38,98;40,68;1;2361679,79;positivo
Lupionópolis;2016;1931;52;18062477,41;1;7572;;;;1142;40,64;120,194;488,44;2629;261;148;315428;113;;680;;;;201;;;;56;107,69;134,62;117,31;115,38;132,69;16217822,79;115,38;125;128,85;130,77;203,85;115,38;115,38;66,67;76,92;76,92;;1844654,62;positivo
Mallet;2016;3478;156;41794266,37;2;137437;;;;2572;18,79;724,479;209,15;7148;412;135;479025;277;1;1664;;;;496;;;;112;99,39;100,61;99,39;92,02;93,25;34679907,6;84,05;101,84;130,06;98,77;103,07;98,77;98,77;68,27;66,87;66,87;;7114358,77;positivo
Mamborê;2016;4596;163;43611498,32;4;27374;;;;2565;17,72;782,904;481,3;9454;431;163;667276;268;1;1662;1;;;472;;;;117;91,44;90,91;109,63;91,44;100,53;43589245,11;92,51;112,83;109,09;107,49;126,74;91,44;91,44;47,71;58,29;57,75;;22253,2100000009;positivo
Mandaguaçu;2016;9497;361;52558715,85;5;36436;;;;4991;74,7;293,436;445;12543;1313;715;1535302;598;7;2851;;2;;764;;63;;151;119,66;57,97;94,24;80,34;83,39;55376344,82;96,61;101,36;107,8;67,12;70,17;91,86;91,86;52,56;1,02;15,93;;-2817628,97;negativo
Mandaguari;2016;14406;468;90604345,53;5;117224;;;;6993;102,36;336,323;390,8;22366;1558;931;2159952;627;3;4011;;;;1365;;59;;247;100,22;94,95;102,2;88,57;98,24;88914462,88;91,43;92,75;96,92;103,3;111,87;93,19;93,19;56,47;0,66;1,32;;1689882,65000001;positivo
Mandirituba;2016;4841;327;62322685,79;4;44055;;;;5538;66,3;381,392;45,7;13678;991;345;758609;646;10;3528;;;;1016;;3;;161;80;66,17;75,56;57,78;47,65;52254853,6;72,1;71,85;72,35;68,4;73,09;66,67;66,67;50,49;18,27;19,26;;10067832,19;positivo
Manfrinópolis;2016;355;42;14567370,44;;4968;;;;618;13,46;215,965;539,29;1262;61;27;52947;34;;426;;;;131;;;;26;128,95;107,89;110,53;89,47;100;13973863,46;94,74;97,37;102,63;115,79;105,26;89,47;89,47;37,04;5,26;5,26;;593506,979999999;positivo
Mangueirinha;2016;4104;253;66883383,89;4;24132;;;;3933;16,12;1073,311;408,39;8914;785;371;587769;414;4;2475;;;;673;;;;110;90,74;58,15;86,3;71,48;76,67;65140586,03;84,07;82,59;88,89;83,33;67,04;84,81;84,81;18,87;;1,11;;1742797,86;positivo
